record_id,fir_number,caller_number,receiver_number,call_type,duration_seconds,timestamp,cell_tower_location
CDR-fccc1c19,0973/2026,+91-3088060716,+91-7155522441,SMS,533,2026-07-21 19:32:49,"Station Road Footpath, Agripada, Mumbai"
CDR-26765f17,0056/2026,+91-4612031808,+91-6658277894,SMS,704,2026-07-13 07:41:32,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-75e1ca1c,0288/2026,+91-1324892076,+91-0083322930,Incoming,821,2026-07-13 00:09:04,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-a0565488,0254/2026,+91-2236381844,+91-0988006174,Outgoing,661,2026-07-31 09:30:43,"Station Road Footpath, Agripada, Mumbai"
CDR-6cb8803d,0320/2026,+91-7774789752,+91-6304508680,Incoming,45,2026-08-09 15:48:19,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-2181270e,0481/2026,+91-6922080797,+91-4754813913,Incoming,822,2026-08-08 18:22:02,"Station Road Footpath, Agripada, Mumbai"
CDR-11f7f6d4,0438/2026,+91-8714702226,+91-6216694266,Incoming,375,2026-09-01 15:17:47,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-6b49008f,0108/2026,+91-5714909698,+91-5915263172,Incoming,331,2026-08-22 12:15:39,"Station Road Footpath, Agripada, Mumbai"
CDR-bf3b1fcd,0898/2026,+91-9440790043,+91-1313704144,Outgoing,745,2026-08-27 17:27:23,"Station Road Footpath, Agripada, Mumbai"
CDR-d785413f,0734/2026,+91-5691317104,+91-7799749261,Incoming,326,2026-08-11 18:58:43,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-79464b39,0513/2026,+91-6111449019,+91-4273670069,SMS,265,2026-08-14 03:17:07,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-5aa80d4c,0635/2026,+91-0953911949,+91-3211806618,Incoming,653,2026-08-19 00:25:17,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-363dcbd4,0724/2026,+91-5372652872,+91-4598784260,Outgoing,838,2026-08-11 16:50:18,"Madanpura, Baban Galli, Byculla (W)"
CDR-832be213,0414/2026,+91-0356058771,+91-1951231046,SMS,449,2026-08-11 18:38:57,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-663d5db0,0658/2026,+91-0751400478,+91-3684198529,Incoming,830,2026-08-12 19:16:17,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-52f5ac41,0052/2026,+91-6993641756,+91-8935396640,Outgoing,664,2026-07-21 02:11:39,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-f102dc94,0481/2026,+91-6754235346,+91-8261621115,SMS,778,2026-08-27 13:44:30,"Madanpura, Baban Galli, Byculla (W)"
CDR-545df845,0736/2026,+91-8224462027,+91-8535218781,Incoming,147,2026-07-13 15:45:55,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-60ae1278,0808/2026,+91-8561621656,+91-7380064908,SMS,92,2026-08-21 12:33:40,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-0f7b6268,0920/2026,+91-3128261525,+91-2249298044,SMS,555,2026-08-01 07:06:26,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-9bef94ad,0161/2026,+91-0327979516,+91-1296901195,Incoming,785,2026-07-19 04:28:00,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-c1c8eaf9,0538/2026,+91-7245876065,+91-7036067702,SMS,465,2026-09-01 00:49:33,"Station Road Footpath, Agripada, Mumbai"
CDR-f14b18a8,0984/2026,+91-9997632226,+91-5529660417,Outgoing,17,2026-07-23 18:44:14,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-6117ca71,0915/2026,+91-0421607034,+91-9530679275,Outgoing,558,2026-08-16 10:57:41,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-5dcbbc50,0939/2026,+91-7744695455,+91-3566383950,Outgoing,553,2026-07-11 09:31:06,"MIDC Road, Gavdevi, Thakurli (East), Thane"
CDR-c538142c,0869/2026,+91-0283885531,+91-8101692629,SMS,583,2026-08-19 00:46:30,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-2af25088,0918/2026,+91-3029050253,+91-5376571151,SMS,210,2026-08-20 18:15:11,"Station Road Footpath, Agripada, Mumbai"
CDR-978856d2,0196/2026,+91-4860124675,+91-5405416287,Incoming,96,2026-08-04 07:41:47,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-f0e8307e,0191/2026,+91-7309005344,+91-9937146397,Incoming,742,2026-08-03 23:23:48,"Madanpura, Baban Galli, Byculla (W)"
CDR-19a95182,0370/2026,+91-0909634931,+91-8841380062,Incoming,708,2026-08-27 01:07:01,"Station Road Footpath, Agripada, Mumbai"
CDR-c3769942,0593/2026,+91-1407733840,+91-3531160657,Outgoing,681,2026-09-05 02:40:33,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-c6c7d658,0634/2026,+91-8472516266,+91-2769136542,Incoming,224,2026-09-04 00:47:56,"MIDC Road, Gavdevi, Thakurli (East), Thane"
CDR-a4cfee39,0489/2026,+91-5730267951,+91-8324791927,Incoming,220,2026-07-19 18:58:39,"Station Road Footpath, Agripada, Mumbai"
CDR-9128ff4d,0399/2026,+91-9402246831,+91-8831730519,SMS,299,2026-09-01 17:31:03,"Station Road Footpath, Agripada, Mumbai"
CDR-dfda638e,0827/2026,+91-8749925305,+91-4969103950,Incoming,329,2026-07-22 15:17:58,"Station Road Footpath, Agripada, Mumbai"
CDR-53566c69,0847/2026,+91-6926567843,+91-1298742862,SMS,651,2026-08-22 22:43:01,"Madanpura, Baban Galli, Byculla (W)"
CDR-59e9d6c7,0307/2026,+91-2325906102,+91-3450312271,Outgoing,753,2026-08-12 08:47:43,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-41045c35,0789/2026,+91-4414875019,+91-8667541428,Incoming,185,2026-08-10 20:13:55,"MIDC Road, Gavdevi, Thakurli (East), Thane"
CDR-2691ee49,0509/2026,+91-6320194538,+91-4684812524,SMS,820,2026-08-07 19:46:12,"Station Road Footpath, Agripada, Mumbai"
CDR-52a02471,0605/2026,+91-0193610079,+91-1746159750,SMS,633,2026-08-25 01:07:33,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-3e2c1bfb,0486/2026,+91-0437844453,+91-2278623406,SMS,581,2026-09-02 21:19:18,"Station Road Footpath, Agripada, Mumbai"
CDR-76b89e87,0725/2026,+91-4475823294,+91-1250436793,Incoming,850,2026-08-07 17:34:59,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-d342f360,0456/2026,+91-2751214628,+91-4171972095,Incoming,584,2026-07-17 00:17:08,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-01f752e2,0413/2026,+91-8726663475,+91-6822881229,Outgoing,537,2026-08-20 08:33:23,"Station Road Footpath, Agripada, Mumbai"
CDR-aa7be516,0053/2026,+91-5505012573,+91-6641847435,SMS,630,2026-08-25 14:19:39,"MIDC Road, Gavdevi, Thakurli (East), Thane"
CDR-3420991d,0263/2026,+91-0333553548,+91-7507465885,Incoming,857,2026-07-15 04:41:45,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-5b9c03e9,0039/2026,+91-1549231524,+91-3691955937,Outgoing,662,2026-07-22 06:21:53,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-89ee722a,0856/2026,+91-9954528199,+91-4983630267,Incoming,364,2026-09-02 00:02:52,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-25a36e2e,0728/2026,+91-0009063115,+91-1189756397,Incoming,325,2026-08-17 17:28:18,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-2d71f19d,0596/2026,+91-6454080360,+91-6799582777,Outgoing,232,2026-08-17 23:01:26,"Station Road Footpath, Agripada, Mumbai"
CDR-0d3b8331,0654/2026,+91-6530338206,+91-1395100063,SMS,252,2026-07-15 21:35:30,"MIDC Road, Gavdevi, Thakurli (East), Thane"
