uidb_number,fir_number,suspect_name,known_aliases,prior_convictions_count,previous_ps_name,previous_offence,case_year,case_status
UIDB-873925,0973/2026,Md. Ojas Bhavsar,Bhavsar Balendra,0,N/A,None,N/A,Clean Record
UIDB-979265,0056/2026,Md. Sathvik Mahajan,Mahajan Ishaan,0,N/A,None,N/A,Clean Record
UIDB-420097,0288/2026,Md. Elijah Rege,Rege Farhan,0,N/A,None,N/A,Clean Record
UIDB-446836,0254/2026,Md. Ranbir Bhalla,Bhalla Ayush,2,Byculla Police Station,Petty Theft,2025,Bailed
UIDB-452315,0320/2026,Md. Pranit Arya,Arya Reyansh,5,Kalachowki Police Station,Petty Theft,2023,Under Trial
UIDB-265705,0481/2026,Md. Reyansh Anne,Anne Wridesh,0,N/A,None,N/A,Clean Record
UIDB-156135,0438/2026,Md. Andrew Bora,Bora Wridesh,0,N/A,None,N/A,Clean Record
UIDB-916113,0108/2026,Md. Gagan Rao,Rao Advik,2,Byculla Police Station,Assault,2022,Bailed
UIDB-893401,0898/2026,Md. Peter Barad,Barad Liam,1,Kalachowki Police Station,Assault,2023,Under Trial
UIDB-011123,0734/2026,Md. Nihal Rana,Rana Ishaan,4,Dadar Police Station,Public Nuisance,2022,Disposed
UIDB-929724,0513/2026,Md. Arjun Sheth,Sheth Viraj,0,N/A,None,N/A,Clean Record
UIDB-573287,0635/2026,Md. Umang Mody,Mody Chakradhar,0,N/A,None,N/A,Clean Record
UIDB-043583,0724/2026,Md. Laban Prakash,Prakash Yuvraj,5,Agripada Police Station,Unlawful Assembly,2025,Disposed
UIDB-436242,0414/2026,Md. Zashil Mistry,Mistry Anay,0,N/A,None,N/A,Clean Record
UIDB-007709,0658/2026,Md. Advik Golla,Golla Frederick,0,N/A,None,N/A,Clean Record
UIDB-103655,0052/2026,Md. Ayush Baria,Baria Yash,2,Byculla Police Station,Public Nuisance,2024,Disposed
UIDB-323507,0481/2026,Md. Simon Rai,Rai George,3,Kalachowki Police Station,Assault,2023,Disposed
UIDB-524597,0736/2026,Md. Tarak Sahni,Sahni Ekaraj,0,N/A,None,N/A,Clean Record
UIDB-427729,0808/2026,Md. Ayush Buch,Buch Elijah,4,Agripada Police Station,Public Nuisance,2022,Disposed
UIDB-703496,0920/2026,Md. Amol Nagy,Nagy Chandran,3,Tardeo Police Station,Petty Theft,2022,Under Trial
UIDB-334672,0161/2026,Md. Baljiwan Hayer,Hayer Victor,1,Kalachowki Police Station,Public Nuisance,2023,Disposed
UIDB-488834,0538/2026,Md. Devansh Vohra,Vohra Dominic,4,Nagpada Police Station,Unlawful Assembly,2022,Bailed
UIDB-187205,0984/2026,Md. Gopal Radhakrishnan,Radhakrishnan Falan,4,Byculla Police Station,Public Nuisance,2024,Disposed
UIDB-410090,0915/2026,Md. Zayyan Ahluwalia,Ahluwalia Utkarsh,0,N/A,None,N/A,Clean Record
UIDB-672297,0939/2026,Md. Rudra Sant,Sant Karan,0,N/A,None,N/A,Clean Record
UIDB-316873,0869/2026,Md. Fitan Mander,Mander Finn,0,N/A,None,N/A,Clean Record
UIDB-064096,0918/2026,Md. Nachiket Desai,Desai Amol,3,Tardeo Police Station,Assault,2022,Bailed
UIDB-051849,0196/2026,Md. Maanav Tailor,Tailor Karan,0,N/A,None,N/A,Clean Record
UIDB-979328,0191/2026,Md. Balendra Nayak,Nayak Raghav,4,Agripada Police Station,Unlawful Assembly,2024,Under Trial
