transaction_id,fir_number,account_holder,payment_mode,amount_inr,timestamp,merchant_or_payee,status
TXN36201506,0973/2026,Md. Ojas Bhavsar,ATM Withdrawal,4913.0,2026-07-21 20:19:49,Wine Shop Vendor,FAILED
TXN60237758,0056/2026,Md. Sathvik Mahajan,UPI / QR Merchant,4844.0,2026-07-13 06:31:32,Peer Transfer,PENDING
TXN97276182,0288/2026,Md. Elijah Rege,UPI / QR Merchant,3585.0,2026-07-12 23:07:04,Retail Store,FAILED
TXN48068103,0254/2026,Md. Ranbir Bhalla,UPI / QR Merchant,734.0,2026-07-31 10:59:43,Peer Transfer,FAILED
TXN53644465,0320/2026,Md. Pranit Arya,Net Banking,4669.0,2026-08-09 15:18:19,Peer Transfer,FAILED
TXN97836021,0481/2026,Md. Reyansh Anne,Net Banking,4242.0,2026-08-08 18:49:02,Retail Store,FAILED
TXN56712212,0438/2026,Md. Andrew Bora,Net Banking,4043.0,2026-09-01 15:27:47,Local Counter,FAILED
TXN70451719,0108/2026,Md. Gagan Rao,UPI / QR Merchant,4840.0,2026-08-22 14:46:39,Wine Shop Vendor,PENDING
TXN48730212,0898/2026,Md. Peter Barad,Cash,3543.0,2026-08-27 16:20:23,Peer Transfer,PENDING
TXN12405920,0734/2026,Md. Nihal Rana,UPI / QR Merchant,2571.0,2026-08-11 19:49:43,Peer Transfer,SUCCESS
TXN27315329,0513/2026,Md. Arjun Sheth,UPI / QR Merchant,3435.0,2026-08-14 00:35:07,Peer Transfer,SUCCESS
TXN48473251,0635/2026,Md. Umang Mody,ATM Withdrawal,4067.0,2026-08-19 02:47:17,Retail Store,PENDING
TXN13956581,0724/2026,Md. Laban Prakash,ATM Withdrawal,4852.0,2026-08-11 18:46:18,Local Counter,SUCCESS
TXN07550471,0414/2026,Md. Zashil Mistry,Cash,832.0,2026-08-11 16:33:57,Retail Store,SUCCESS
TXN66092918,0658/2026,Md. Advik Golla,Net Banking,258.0,2026-08-12 18:00:17,Retail Store,PENDING
TXN74336860,0052/2026,Md. Ayush Baria,ATM Withdrawal,2563.0,2026-07-21 05:00:39,Local Counter,SUCCESS
TXN65685544,0481/2026,Md. Simon Rai,Cash,695.0,2026-08-27 13:42:30,Peer Transfer,FAILED
TXN50038273,0736/2026,Md. Tarak Sahni,Cash,3135.0,2026-07-13 13:23:55,Retail Store,SUCCESS
TXN47417538,0808/2026,Md. Ayush Buch,Cash,1261.0,2026-08-21 14:10:40,Local Counter,SUCCESS
TXN92328855,0920/2026,Md. Amol Nagy,UPI / QR Merchant,2365.0,2026-08-01 04:04:26,Retail Store,FAILED
TXN50644600,0161/2026,Md. Baljiwan Hayer,UPI / QR Merchant,862.0,2026-07-19 07:03:00,Local Counter,FAILED
TXN03422718,0538/2026,Md. Devansh Vohra,UPI / QR Merchant,4426.0,2026-09-01 00:35:33,Peer Transfer,PENDING
TXN31114802,0984/2026,Md. Gopal Radhakrishnan,UPI / QR Merchant,4465.0,2026-07-23 17:37:14,Peer Transfer,FAILED
TXN58979406,0915/2026,Md. Zayyan Ahluwalia,UPI / QR Merchant,186.0,2026-08-16 10:04:41,Retail Store,FAILED
TXN25740271,0939/2026,Md. Rudra Sant,UPI / QR Merchant,1933.0,2026-07-11 13:01:06,Retail Store,PENDING
TXN79946307,0869/2026,Md. Fitan Mander,Net Banking,4395.0,2026-08-18 22:53:30,Retail Store,FAILED
TXN95662705,0918/2026,Md. Nachiket Desai,Cash,4961.0,2026-08-20 20:02:11,Wine Shop Vendor,FAILED
