fir_number,police_station,district_state,act_and_sections,date_time_incident,date_time_fir,complainant_name,complainant_designation,complainant_phone,complainant_address,investigating_officer,io_rank,io_badge,accused_name,accused_phone,accused_age,accused_yob,accused_address,accused_occupation,physical_features,hospital_reference
0973/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-21 21:55:49,2026-07-21 22:55:49,Jacob Aurora,Police Head Constable 2944,+91-1656216911,"H.No. 32, Parekh Zila, Kottayam 097710",Naveen Sha,Inspector of Police,POBN61206,Md. Ojas Bhavsar,+91-3088060716,51,1987,"H.No. 336, Sinha Chowk, Korba 820202",Vendor,,Nair Hospital Mumbai
0056/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-13 08:49:32,2026-07-13 12:49:32,Rishi Prashad,Police Head Constable 8060,+91-9816793368,"424, Sarna Ganj, Gandhidham-256220",Ekansh Dhar,Inspector of Police,POBN50943,Md. Sathvik Mahajan,+91-4612031808,38,1978,"36/48, Dani Circle, Kumbakonam-152479",Private Worker,Tattoo on forearm,Sion Hospital Mumbai
0288/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-13 02:02:04,2026-07-13 04:02:04,Shivansh Halder,Police Head Constable 3221,+91-1381488822,"60, Chada Chowk, Nashik 810714",Jeremiah Karan,Inspector of Police,POBN66833,Md. Elijah Rege,+91-1324892076,45,2004,"59/429, Balan Road, Ambala-068689",Vendor,,KEM Hospital Mumbai
0254/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-31 11:53:43,2026-07-31 15:53:43,Omkaar Gade,Police Head Constable 6848,+91-3823054491,"H.No. 709, Pandit Street, Nangloi Jat-530035",Samesh Bedi,Inspector of Police,POBN49071,Md. Ranbir Bhalla,+91-2236381844,39,1983,"320, Bhandari Path, Patna-000377",Unemployed,Pockmarks on face,Sion Hospital Mumbai
0320/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-09 17:44:19,2026-08-09 21:44:19,Chatura Bandi,Police Head Constable 5025,+91-6703384532,"385, Sur Road, Jabalpur 055428",Umang Sood,Inspector of Police,POBN59163,Md. Pranit Arya,+91-7774789752,24,2002,"35/518, Goel Road, Begusarai 861128",Vendor,Scar on left cheek,KEM Hospital Mumbai
0481/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-08 21:45:02,2026-08-09 01:45:02,Qarin Chakraborty,Police Head Constable 2316,+91-8525531804,"936, Sarraf Zila, Ghaziabad 068830",Azaan Mutti,Inspector of Police,POBN45295,Md. Reyansh Anne,+91-6922080797,37,1970,"190, Sabharwal Nagar, Nandyal-800901",Vendor,Pockmarks on face,KEM Hospital Mumbai
0438/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-01 18:32:47,2026-09-01 21:32:47,Lakshit Jha,Police Head Constable 2842,+91-1199342960,"287, Mittal Ganj, Madurai-730789",Jagdish Basak,Inspector of Police,POBN23502,Md. Andrew Bora,+91-8714702226,49,1998,"84/047, Gill Zila, Rewa-550121",Driver,,Sion Hospital Mumbai
0108/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-22 15:19:39,2026-08-22 16:19:39,Thomas Khatri,Police Head Constable 1964,+91-8933075275,"706, Sule, Madhyamgram-399427",Pratyush Krish,Inspector of Police,POBN17740,Md. Gagan Rao,+91-5714909698,54,1967,"835, Oommen Marg, Motihari-939136",Vendor,Mole on neck,Nair Hospital Mumbai
0898/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-27 19:09:23,2026-08-27 23:09:23,Girindra Deshpande,Police Head Constable 2319,+91-4581931458,"725, Natt, Raurkela Industrial Township 827844",Parth Dash,Inspector of Police,POBN46061,Md. Peter Barad,+91-9440790043,52,1966,"H.No. 132, Kannan Road, Sirsa-208881",Vendor,Mole on neck,KEM Hospital Mumbai
0734/2026,Dadar Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-11 22:24:43,2026-08-11 23:24:43,Gaurav Murthy,Police Head Constable 7138,+91-0559893583,"H.No. 794, Palan Nagar, Ichalkaranji 419222",Tejas Chauhan,Inspector of Police,POBN85737,Md. Nihal Rana,+91-5691317104,36,1971,"H.No. 65, Choudhury Zila, Amritsar-929068",Driver,,Sion Hospital Mumbai
