sighting_id,fir_number,suspect_name,sighting_timestamp,camera_id,camera_location,nearest_known_location,distance_from_incident_meters,match_confidence,sighting_status
CCTV-0001-01,0628/2026,Md. Hardik Kant,2026-08-11 06:18:32,MH-CCTV-9173,"Metro Access Road, Byculla West, Mumbai","Byculla West, Mumbai",190,0.72,Under Review
CCTV-0002-01,0433/2026,Md. Gabriel Warrior,2026-09-06 04:07:50,MH-CCTV-2466,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",612,0.91,Under Review
CCTV-0003-01,0389/2026,Md. Gabriel Raj,2026-07-12 11:33:07,MH-CCTV-5719,"Flyover Service Road, Lower Parel, Mumbai","Lower Parel, Mumbai",347,0.7,Verified Match
CCTV-0004-01,0772/2026,Md. Matthew Nayar,2026-08-16 22:31:59,MH-CCTV-4050,"Station Road Junction, Dadar, Mumbai","Dadar, Mumbai",226,0.66,Under Review
CCTV-0005-01,0675/2026,Md. Mohammed Badami,2026-09-02 01:07:48,MH-CCTV-9890,"Public Footpath Corner, Lower Parel, Mumbai","Lower Parel, Mumbai",210,0.71,Potential Match
CCTV-0005-02,0675/2026,Md. Mohammed Badami,2026-09-01 22:54:48,MH-CCTV-5171,"Main Road Traffic Signal, Worli, Mumbai","Worli, Mumbai",582,0.98,Verified Match
CCTV-0006-01,0664/2026,Md. Ranbir Tella,2026-07-19 10:55:51,MH-CCTV-2230,"Public Footpath Corner, Worli, Mumbai","Worli, Mumbai",604,0.74,Under Review
CCTV-0007-01,0299/2026,Md. Darsh Jaggi,2026-08-24 15:30:43,MH-CCTV-1652,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",449,0.96,Under Review
CCTV-0007-02,0299/2026,Md. Darsh Jaggi,2026-08-24 11:26:43,MH-CCTV-3889,"Main Road Traffic Signal, Grant Road, Mumbai","Grant Road, Mumbai",671,0.81,Verified Match
CCTV-0008-01,0277/2026,Md. Thomas Batta,2026-08-16 08:19:39,MH-CCTV-4580,"Public Footpath Corner, Agripada, Mumbai","Agripada, Mumbai",512,0.87,Potential Match
CCTV-0008-02,0277/2026,Md. Thomas Batta,2026-08-16 06:36:39,MH-CCTV-7870,"Shopping Lane Entrance, Nagpada, Mumbai","Nagpada, Mumbai",440,0.65,Verified Match
CCTV-0009-01,0711/2026,Md. Azad Apte,2026-08-30 22:07:29,MH-CCTV-7789,"Public Footpath Corner, Nagpada, Mumbai","Nagpada, Mumbai",700,0.72,Verified Match
CCTV-0009-02,0711/2026,Md. Azad Apte,2026-08-30 19:08:29,MH-CCTV-4342,"Market Entrance, Lower Parel, Mumbai","Lower Parel, Mumbai",194,0.76,Verified Match
CCTV-0010-01,0585/2026,Md. Brijesh Bahri,2026-08-31 16:11:45,MH-CCTV-6807,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",179,0.71,Potential Match
CCTV-0011-01,0743/2026,Md. Gavin Chada,2026-08-25 11:33:05,MH-CCTV-5522,"Main Road Traffic Signal, Kalachowki, Mumbai","Kalachowki, Mumbai",395,0.72,Under Review
