tracking_id,fir_number,suspect_name,associated_phone,platform,event_type,timestamp,approximate_location,device_type,network_type,location_accuracy_meters
SMT-0001-01,0628/2026,Md. Hardik Kant,+91-8482336846,WhatsApp,Logout,2026-08-12 22:33:32,"Dadar, Mumbai",Desktop Browser,Broadband,442
SMT-0001-02,0628/2026,Md. Hardik Kant,+91-8482336846,WhatsApp,Logout,2026-08-10 00:04:32,"Agripada, Mumbai",Android Mobile,Wi-Fi,127
SMT-0001-03,0628/2026,Md. Hardik Kant,+91-8482336846,WhatsApp,Login,2026-08-09 23:16:32,"Lower Parel, Mumbai",Android Mobile,Broadband,235
SMT-0002-01,0433/2026,Md. Gabriel Warrior,+91-1085530548,Instagram,Login,2026-09-07 08:57:50,"Agripada, Mumbai",iPhone,Broadband,301
SMT-0002-02,0433/2026,Md. Gabriel Warrior,+91-1085530548,WhatsApp,Session Activity,2026-09-07 08:14:50,"Worli, Mumbai",Desktop Browser,Mobile Data,200
SMT-0003-01,0389/2026,Md. Gabriel Raj,+91-3890666522,WhatsApp,Logout,2026-07-10 15:22:07,"Nagpada, Mumbai",Android Mobile,Broadband,474
SMT-0003-02,0389/2026,Md. Gabriel Raj,+91-3890666522,WhatsApp,Login,2026-07-11 17:12:07,"Kalachowki, Mumbai",Desktop Browser,Broadband,224
SMT-0004-01,0772/2026,Md. Matthew Nayar,+91-2792851047,Facebook,Logout,2026-08-16 21:17:59,"Lower Parel, Mumbai",iPhone,Broadband,142
SMT-0005-01,0675/2026,Md. Mohammed Badami,+91-6435977332,X / Twitter,Logout,2026-09-03 04:55:48,"Lower Parel, Mumbai",Android Mobile,Mobile Data,355
SMT-0006-01,0664/2026,Md. Ranbir Tella,+91-6119917426,X / Twitter,Logout,2026-07-20 06:36:51,"Lower Parel, Mumbai",Android Mobile,Mobile Data,390
SMT-0006-02,0664/2026,Md. Ranbir Tella,+91-6119917426,WhatsApp,Session Activity,2026-07-21 00:53:51,"Nagpada, Mumbai",Android Mobile,Mobile Data,428
SMT-0007-01,0299/2026,Md. Darsh Jaggi,+91-5140451817,Instagram,Session Activity,2026-08-22 20:51:43,"Agripada, Mumbai",Android Mobile,Wi-Fi,346
SMT-0007-02,0299/2026,Md. Darsh Jaggi,+91-5140451817,WhatsApp,Logout,2026-08-25 14:06:43,"Lower Parel, Mumbai",Android Mobile,Wi-Fi,469
SMT-0007-03,0299/2026,Md. Darsh Jaggi,+91-5140451817,Facebook,Session Activity,2026-08-26 00:11:43,"Agripada, Mumbai",Desktop Browser,Mobile Data,381
SMT-0008-01,0277/2026,Md. Thomas Batta,+91-1404536558,Facebook,Session Activity,2026-08-17 02:39:39,"Worli, Mumbai",Android Mobile,Wi-Fi,64
SMT-0008-02,0277/2026,Md. Thomas Batta,+91-1404536558,X / Twitter,Session Activity,2026-08-18 04:04:39,"Nagpada, Mumbai",Android Mobile,Broadband,394
SMT-0008-03,0277/2026,Md. Thomas Batta,+91-1404536558,Facebook,Session Activity,2026-08-14 18:57:39,"Kalachowki, Mumbai",Android Mobile,Wi-Fi,114
SMT-0009-01,0711/2026,Md. Azad Apte,+91-0040309867,X / Twitter,Session Activity,2026-08-30 22:53:29,"Nagpada, Mumbai",iPhone,Broadband,384
SMT-0009-02,0711/2026,Md. Azad Apte,+91-0040309867,WhatsApp,Session Activity,2026-08-28 20:32:29,"Nagpada, Mumbai",iPhone,Mobile Data,196
SMT-0010-01,0585/2026,Md. Brijesh Bahri,+91-4753915012,Instagram,Session Activity,2026-09-02 14:04:45,"Kalachowki, Mumbai",Desktop Browser,Mobile Data,447
SMT-0010-02,0585/2026,Md. Brijesh Bahri,+91-4753915012,X / Twitter,Session Activity,2026-08-31 21:49:45,"Byculla West, Mumbai",Desktop Browser,Mobile Data,270
SMT-0010-03,0585/2026,Md. Brijesh Bahri,+91-4753915012,X / Twitter,Login,2026-08-29 19:06:45,"Grant Road, Mumbai",iPhone,Wi-Fi,158
SMT-0011-01,0743/2026,Md. Gavin Chada,+91-5095132008,WhatsApp,Session Activity,2026-08-26 11:55:05,"Grant Road, Mumbai",Desktop Browser,Broadband,127
SMT-0011-02,0743/2026,Md. Gavin Chada,+91-5095132008,Instagram,Login,2026-08-24 07:32:05,"Grant Road, Mumbai",Desktop Browser,Broadband,143
SMT-0011-03,0743/2026,Md. Gavin Chada,+91-5095132008,WhatsApp,Session Activity,2026-08-23 19:58:05,"Byculla West, Mumbai",Android Mobile,Broadband,404
SMT-0012-01,0844/2026,Md. Yagnesh Srinivasan,+91-5070161686,WhatsApp,Login,2026-07-27 09:31:58,"Worli, Mumbai",iPhone,Mobile Data,314
SMT-0012-02,0844/2026,Md. Yagnesh Srinivasan,+91-5070161686,X / Twitter,Login,2026-07-27 23:31:58,"Byculla West, Mumbai",iPhone,Broadband,357
SMT-0013-01,0496/2026,Md. Harsh Balan,+91-3791380192,Facebook,Logout,2026-09-07 06:07:11,"Lower Parel, Mumbai",Android Mobile,Broadband,67
SMT-0013-02,0496/2026,Md. Harsh Balan,+91-3791380192,X / Twitter,Session Activity,2026-09-05 14:09:11,"Lower Parel, Mumbai",Android Mobile,Broadband,206
SMT-0013-03,0496/2026,Md. Harsh Balan,+91-3791380192,WhatsApp,Session Activity,2026-09-06 09:21:11,"Worli, Mumbai",Android Mobile,Wi-Fi,135
SMT-0014-01,0386/2026,Md. Harrison Ravi,+91-6661183347,Facebook,Session Activity,2026-07-08 15:02:09,"Worli, Mumbai",Android Mobile,Broadband,310
SMT-0014-02,0386/2026,Md. Harrison Ravi,+91-6661183347,Facebook,Logout,2026-07-08 22:46:09,"Lower Parel, Mumbai",Desktop Browser,Broadband,457
SMT-0015-01,0565/2026,Md. Rushil Magar,+91-7506160630,Facebook,Session Activity,2026-08-13 06:25:29,"Kalachowki, Mumbai",Android Mobile,Mobile Data,443
SMT-0016-01,0885/2026,Md. Rudra Rana,+91-5381675523,X / Twitter,Session Activity,2026-07-19 21:25:59,"Dadar, Mumbai",iPhone,Wi-Fi,289
SMT-0016-02,0885/2026,Md. Rudra Rana,+91-5381675523,Facebook,Logout,2026-07-18 10:45:59,"Agripada, Mumbai",iPhone,Mobile Data,414
SMT-0017-01,0742/2026,Md. Anthony Batta,+91-2747146789,Facebook,Logout,2026-07-14 18:04:17,"Worli, Mumbai",Android Mobile,Broadband,336
SMT-0017-02,0742/2026,Md. Anthony Batta,+91-2747146789,Instagram,Session Activity,2026-07-13 03:40:17,"Agripada, Mumbai",Android Mobile,Mobile Data,88
SMT-0017-03,0742/2026,Md. Anthony Batta,+91-2747146789,X / Twitter,Session Activity,2026-07-14 04:05:17,"Grant Road, Mumbai",Desktop Browser,Wi-Fi,483
SMT-0018-01,0122/2026,Md. Dev Sami,+91-1514070672,Instagram,Logout,2026-07-24 01:01:43,"Byculla West, Mumbai",Desktop Browser,Mobile Data,143
SMT-0018-02,0122/2026,Md. Dev Sami,+91-1514070672,Facebook,Session Activity,2026-07-25 20:51:43,"Byculla West, Mumbai",iPhone,Broadband,304
SMT-0018-03,0122/2026,Md. Dev Sami,+91-1514070672,Facebook,Logout,2026-07-25 04:05:43,"Lower Parel, Mumbai",Android Mobile,Wi-Fi,178
SMT-0019-01,0523/2026,Md. Max Narayan,+91-8057790544,X / Twitter,Login,2026-09-04 02:42:51,"Byculla West, Mumbai",iPhone,Broadband,148
